Hyllypaikka,Tekijä,Nimeke,ISBN/ISSN,Julkaisuvuosi,Lainojen lkm.
84.2,"Widmark, Martin.",Sanomalehden arvoitus,978-951-31-3911-7,2008,561
62.51,"Steffensmeier, Alexander.",Suuret ajoneuvot,978-952-288-002-4,2013,561
84.2,"Manner, Max, kirjoittaja.",Jääkyynel,978-952-289-247-8,2015,560
84.2,"Wallace, Karen.",Kadonneet kissanpennut,978-951-883-284-6,2012,560
85.22,"Knutsson, Gösta.",Pekka Töpöhännän ystävä,951-20-3977-X,2000,560
84.2,"Jalo, Merja, kirjoittaja.",Jesse aarrekoira,978-951-0-40858-2,2015,559
84.2 JÄN,"Vala, Vera.",Villa Sibyllan kirous,978-951-20-9645-9,2014,558
84.2,"Russell, Rachel Renée.","Nolo elämäni. 2, Olisinpa bilehile /",978-951-32-3528-4,2012,558
85.22,"Cousins, Lucy.",Maisa menee yökylään,978-951-0-38994-2,2012,558
84.2 D,"Nykänen, Harri.",Leijonakuningas : komisario Ariel Kafkan tutkimuksia,978-952-289-106-8,2013,557
85.22,"Louhi, Kristiina.",Tomppa ja kummaa,978-951-31-4630-6,2009,556
84.2,"Cunningham, Michael, kirjoittaja.",Lumikuningatar,978-951-20-9635-0,2014,556
85.22 KU,"Wolde, Gunilla.",Sanna ja pölynimuri,951-30-3353-8,1975,556
84.2,"Kivelä, Anneli.",Uusia tuulia Katajamäellä,978-951-23-4950-0,2008,556
84.2,"Hattula, Markku, kirjoittaja.",Kaukopartion kujanjuoksu,978-952-312-039-6,2014,555
84.2,"Jalo, Merja.",Jesse kylpyläkoira,978-951-0-39349-9,2013,554
85.22,"Hill, Eric.",Puppe sirkuksessa,951-1-09034-8,1987,554
84.2,"Piekkari, Eija, kirjoittaja.",Hyytävä hyppy : jännitysromaani,978-952-202-549-4,2014,554
84.2,"Green, John, kirjoittaja.",Kaikki viimeiset sanat,978-951-0-40270-2,2014,554
,,Kuulokkeet.,,,554
84.2,"Roberts, Nora.",Avaimet onneen,978-951-20-8809-6,2012,553
84.2 D,"Nesbø, Jo, kirjoittaja.","Verta lumella. Osa II, Lisää verta /",978-951-0-40807-0,2015,551
84.2,"Ohlsson, Kristina.",Paratiisiuhrit,978-951-0-39698-8,2014,551
84.2,"Kallioniemi, Tuula.",Salapoliisi Konsta,978-951-1-22449-5,2008,550
84.2 JÄN,"Roberts, Nora, kirjoittaja.",Keräilijä,978-951-20-9971-9,2015,550
84.2,"Lindgren, Astrid.","Veljeni, Leijonamieli",951-0-06396-7,1974,550
84.2,"Hulkko, Johanna.",Geoetsivät ja muinaishaudan salaisuus,978-951-23-5775-8,2014,547
84.2,"Niemelä, Reetta, kirjoittaja.",Ystäväni Uljas,978-951-1-28325-6,2015,547
84.2 HL,"Goodhart, Pippa.",Jojon syntymäpäivä,951-882-517-3,2005,547
84.2,"Luhtanen, Sari.",Kaikkea kaunista,978-951-31-6599-4,2012,547
84.2 D,"Brown, Dan.",Inferno,978-951-0-40007-4,2013,546
84.2 D,"Kepler, Lars.",Hypnotisoija : rikosromaani,978-951-31-5274-1,2010,545
68.33,"Kondo, Marie, kirjoittaja.",KonMari : siivouksen elämänmullistava taika,978-952-279-216-7,2015,545
84.2 H ,"Perttula, Pirkko-Liisa.",Kummitusperhe Kammoset kesälaitumilla,978-951-1-24224-6,2010,545
84.2 D,"Baldacci, David.",Kuudes nero,978-951-20-9576-6,2014,544
84.2,"Lee, Harper, kirjoittaja.",Kaikki taivaan linnut,978-951-24-0122-2,2015,544
85.22 KU,"Bergström, Gunilla.",Mikko Mallikas ihmettelee,951-31-2536-X,2002,544
84.2,"Souri, Katariina, kirjoittaja.",Valkoinen varjo,978-951-31-7677-8,2015,543
85.32,"Barks, Carl, sarjakuvantekijä.",Kielletyn laakson tarinat : ja muita klassikoita,978-951-32-3849-0,2014,543
84.2,"Sipilä, Jarkko.",Muru,978-952-5918-24-3,2011,543
84.2,"Utrio, Kaari.",Oppinut neiti,978-952-5330-41-0,2011,543
84.2,,Vilustunut lumiukko : 400 uutta koululaisvitsiä,978-951-1-26479-8,2012,542
84.2,"Nopola, Sinikka.",Risto Räppääjä saa isän,978-951-31-6358-7,2011,542
94.13,"Lower, Wendy, kirjoittaja.",Hitlerin raivottaret : saksalaisnaisia natsien kuoleman kentillä,978-952-300-065-0,2014,542
84.2 D,"Läckberg, Camilla.",Perillinen,978-951-50-1990-5,2010,542
84.2,"Jokinen, Seppo.",Piripolkka,951-23-4320-7,2002,541
84.2,"Kyrö, Tuomas.",Kunkku : iloittelu,978-952-234-173-0,2013,541
85.12 H,"Bradman, Tony.",Kanerva Keijun taikaloitsu,978-951-883-065-1,2010,540
84.2,"Parvela, Timo.",Ella ja kaverit karkaavat koulusta,978-951-31-8046-1,2014,539
Huumori,,Hamsterin hymypatsas,978-951-1-27408-7,2013,539
84.2,"Jansson, Anna.",Unissakävelijä,978-951-20-8262-9,2011,539
84.2,"Tamminen, Petri, kirjoittaja.",Meriromaani : eräitä valoisia hetkiä merikapteeni Vilhelm Huurnan synkässä elämässä,978-951-1-28605-9,2015,539
84.2,Harry Potter and the Order of the Phoenix,Harry Potter ja Feeniksin kilta.,7321945593260,2007,538
84.2 D,"Jokinen, Seppo.",Koskinen ja pudotuspeli : rikosromaani,951-23-4832-2,2006,537
84.2,"Tuuri, Antti, kirjoittaja.",Pitelemättömät : romaani,978-951-1-28752-0,2015,536
85.22,"Heimonen, Satu, kirjoittaja.",Täyttä laukkaa! : opas ponien maailmaan,978-951-32-4082-0,2015,536
85.22,"Louhi, Kristiina.",Tompan uusi koti,978-951-31-6578-9,2012,536
84.2 D,"Lönnroth, Heleena, kirjoittaja.",Ryppyinen kostaja : jännitysromaani,978-952-68149-3-3,2015,535
85.22,"Wolde, Gunilla.",Sanna menee päiväkotiin,951-31-0904-6,1996,535
84.2,"Marttinen, Annamari, kirjoittaja.",Vapaa,978-951-31-8025-6,2015,535
84.2,"Arhippa, Pirkko.",Polku pimeään : jännitysromaani,978-951-883-277-8,2011,535
84.2,"Harjula, Kristiina.",Pispalan kiviä,978-951-23-5570-9,2013,534
84.2 H,"Hulkko, Johanna.",Geoetsivät ja vaeltava aave,978-951-23-5709-3,2013,534
84.2 D,"Carlsson, Christoffer, kirjoittaja.",Varjot,978-951-0-40789-9,2014,534
84.2 JÄN,"Sten, Viveca.",Sisäpiirissä,978-951-0-39674-2,2013,532
84.2,"Laine, Matti.",Merkitty mies : rikosromaani,978-952-299-030-3,2014,532
85.22,"Nordqvist, Sven.",Viiru ja Kososen kukko,951-31-0861-9,1996,532
85.22,"Dale, Penny.",Dinojen pelastuspartio,978-951-883-543-4,2014,532
85.22,"Freeman, Tor.",Postikoira Pontus : etsi ja löydä,978-951-883-625-7,2014,532
84.2,"Magee, Audrey, kirjoittaja.",Sopimus,978-952-300-117-6,2015,532
85.22,"Garfield, Todd, kirjoittaja.",Lentsikoiden maailma,978-951-32-3982-4,2014,532
84.2 D,"Slaughter, Karin.",Yli rajan,978-951-31-6915-2,2013,531
86.2,"Kirstinä, Leena, kirjoittaja.",Kirsi Kunnas : sateessa ja tuulessa,978-951-0-40164-4,2014,531
85.22,"Arenius, Päivi, taiteilija.",Postimerkin arvoitus,978-951-31-8160-4,2015,530
84.2 Huumori,,Torakka tähtisateessa,978-951-1-24371-7,2010,530
85.22,"Butler, M. Christina.",Siilin yökylä,978-951-23-5832-8,2014,530
84.2,"Farah, Nura.",Aavikon tyttäret,978-951-1-27828-3,2014,530
84.2,"Green, John.",Tähtiin kirjoitettu virhe,978-951-0-40879-7,2014,529
84.2,"Widmark, Martin.",Kullan arvoitus,951-31-3763-5,2006,529
84.2,"Malvaldi, Marco, kirjoittaja.",Kolmen kortin temppu,978-951-31-7256-5,2015,528
84.2,"Ahrnstedt, Simona, kirjoittaja.",Skandaalinkäryä,978-951-23-5941-7,2015,527
84.2,"Hulkko, Johanna.",Geoetsivät autiolla saarella,978-951-23-5844-1,2014,527
84.2,Ice age : continental drift.,Ice age 4 : mannerten mullistus,6438044331059,2012,526
85.22,"Koivisto, Jari.",Miina ja Manu Ahdin valtakunnassa,978-951-866-829-2,2012,526
84.2,"Ahern, Cecelia.",Sadan nimen mittainen matka,978-951-20-9249-9,2014,526
85.32,"Bart Simpson to the rescue, suomi",Bart Simpson : pelastusretki!,978-952-220-890-3,2015,526
85.22,"Koivisto, Jari.",Miina ja Manu : talvirieha,978-951-866-830-8,2012,526
85.22 KU,"Bagge, Tapani.",Pikku auto ja jättikaivuri,978-951-31-7649-5,2014,526
84.2,"Nopola, Sinikka.",Risto Räppääjä ja Nuudelipää [Äänite] /,951-31-3514-4,2005,526
79.813,"Milton, Stephanie.",Minecraft : aloittelijan opas,978-951-28-5641-1,2014,524
85.22,"Hill, Eric.","Hyvää yötä, Puppe",978-951-1-23642-9,2009,524
99.1,"Kim, Eunsun, kirjoittaja.",Pohjois-Korea : yhdeksän vuoden pakomatka helvetistä,978-952-234-239-3,2014,524
85.22,"Ruuska, Kerttu.",Elsa uimahallissa,978-952-63-1986-5,2014,524
84.2,"Larsson, Åsa.",Uhrilahja,978-951-1-25369-3,2012,523
84.2,"Høeg, Peter, kirjoittaja.",Susanin vaikutus,978-951-31-8234-2,2015,523
99.13,"Houni, Pirjo.","Ei, rouva presidentti",978-951-1-27872-6,2014,523
84.2 JÄN,"Mäki, Reijo.",Sahanpururevolveri : kauneimmat kertomukset,978-951-1-26927-4,2013,523
84.2,"Kallioniemi, Tuula.","Konsta, talenttitähti",978-951-1-25225-2,2011,522
84.2,"Coben, Harlan.",Lupaa ja vaikene,978-952-492-847-2,2014,521
84.2,"Nopola, Sinikka.",Risto Räppääjä ja nukkavieru Nelli,978-951-31-6967-1,2012,521
85.22,"Kunnas, Mauri.",Koiramäen talvi,951-1-10221-4,1988,521
84.2 Fan ,"Hunter, Erin, kirjoittaja.",Villiin luontoon,978-951-884-460-3,2009,521
84.2 D,"Lehtolainen, Leena.",Henkivartija,978-951-31-4530-9,2009,521
84.2,"Widmark, Martin.",Elokuvateatterin arvoitus,978-951-31-4036-6,2007,519
L85.22,"Havukainen, Aino.",Veera ja menopelit,978-951-1-26728-7,2012,519
84.2 D,"Staun, Susanne.",Punainen merkki,978-951-0-38863-1,2014,519
84.2,"Rissanen, Pirjo.",Äitienpäivä,978-951-20-8479-1,2011,518
85.22 KU,"Hapka, Catherine.",Sofia ensimmäinen,978-951-32-3752-3,2013,518
85.22 KU,The pearl princess.,Helmiprinsessa,978-951-20-9435-6,2014,518
92.73,"Keskisarja, Teemu, kirjoittaja.",Tolvajärven jälkeen : suurtaistelun ihmisten historia,978-952-234-253-9,2014,518
85.22,"Huovi, Hannele.","Urpo, Turpo ja hirveä Irvisaurus",978-951-31-7143-8,2013,517
84.2 H,"Dale, Elizabeth.",Samun salainen ystävä,978-951-883-517-5,2013,517
84.2,"Björk, Marja.",Mustalaisäidin kehtolaulu,978-952-01-1077-2,2014,517
84.2,"Pättikangas, Eira.",Vuodet kuin unta,978-951-23-5618-8,2013,516
85.22,"Hill, Eric.",Missä Puppe piileksii?,978-951-1-24198-0,2009,516
85.22,"Kunnas, Mauri.",Seitsemän tätiä ja aarre,951-1-19739-8,2004,516
84.2,"Hulkko, Johanna, kirjoittaja.",Geoetsivät ja vesiseikkailu,978-951-23-5936-3,2015,516
85.22,"Kanto, Anneli.",Paavo Virtanen ja tyttöjen tavarat,978-951-23-5431-3,2011,515
85.22,"We honestly can look after your dog,suomi",Me ihan totta osataan hoitaa koiraa,978-951-0-35896-2,2010,515
84.2,"Väisänen, Hannu, kirjoittaja.",Piisamiturkki ja muita kertomuksia,978-951-1-28261-7,2015,515
85.22,"Gerlings, Rebecca, kirjoittaja.",Jyrin kilpa-auto,978-951-1-28834-3,2015,515
67.41,"Niemelä, Reetta.",Tikkumäen talli,978-951-1-24909-2,2011,514
84.2,"Widmark, Martin.",Muumion arvoitus,951-31-3694-9,2006,514
84.2,"Tervo, Jari.",Esikoinen : romaani,978-951-0-39971-2,2013,513
85.12,"Nopola, Sinikka.","Heinähattu, Vilttitossu ja iso Elsa",978-951-31-7999-1,2014,513
84.2,"Tegenfalk, Stefan.",Koston vanki,978-952-5637-87-8,2014,513
85.32,"Barks, Carl, sarjakuvantekijä.",Merikäärme,978-951-32-3872-8,2014,512
84.2,"Remes, Ilkka.",Ylösnousemus,978-951-0-39388-8,2012,512
67.451,"Head, Honor, kirjoittaja.",Oman koiran hoito-opas : hyödyllistä tietoa ja hauskoja vinkkejä,978-951-23-5887-8,2015,512
84.2,"Heino, Marja-Liisa, kirjoittaja.",Älä tähti putoa,978-951-0-40988-6,2015,512
84.2,"Jaatinen, Pekka, kirjoittaja.",SS-mies Valo,978-951-0-40991-6,2015,511
85.22,"Koivisto, Jari.",Miina ja Manu reissussa,978-951-866-851-3,2013,511
85.22,"Koster, Amy Sky.",Sydämenvaltaajat,978-951-32-3882-7,2014,511
85.22,But excuse me that is my book,Se on totta vieköön minun kirjani,978-951-0-36199-3,2010,511
85.32,,Simpsonit : Supernova,978-952-220-889-7,2014,510
85.22,"Harjanne, Maikki.",Minttu morsiusneitona,978-951-1-24734-0,2011,510
84.2,"Samartin, Cecilia, kirjoittaja.",Los Peregrinos,978-952-279-214-3,2015,510
28.714,"Ruoho, Aila.","Usko, toivo ja raskaus : vanhoillislestadiolaista perhe-elämää",978-952-300-077-3,2014,510
84.2,"Krefeld, Michael Katz, kirjoittaja.",Kadonneet,978-952-01-1074-1,2015,510
84.2,,Risto Räppääjä [Videotallenne] /,6420201176146,2008,509
85.32,"Neel, Julien.",Päiväkirjaelämää,978-951-20-8461-6,2011,509
84.2,"Leino, Marko, kirjoittaja.",Syntymättömät,978-951-851-645-6,2015,508
85.22,"Kunnas, Mauri.",Puhveli-Billin lännensirkus,951-1-15532-6,1998,507
84.2 D,"Kesävuori, Saara.",Tarkasti vartioitu,978-951-31-7424-8,2013,507
84.2,"Pulli, Elina, kirjoittaja.",Tukkasurma,978-951-52-3535-0,2015,507
85.22,"Hapka, Catherine, kirjoittaja.",Sofia ensimmäinen : kelluva palatsi,978-951-32-3856-8,2014,507
85.22,"Koivisto, Jari, taiteilija, kirjoittaja.",Miina ja Manu : numeroaapinen,978-951-866-891-9,2015,507
84.2,"Kyrö, Tuomas.",Mielensäpahoittaja,978-951-0-36642-4,2010,505
84.2 Huumori,,Hai haarukassa,978-951-1-23791-4,2009,505
84.2,"Tuomola, Johanna, kirjoittaja.",Vielä kerran : rikosromaani,978-952-202-608-8,2015,505
84.2,"Kyrö, Tuomas.","Ilosia aikoja, Mielensäpahoittaja",978-951-0-40775-2,2014,505
3,"Dare to look, suomi",Usko tai älä : 2015,978-952-220-857-6,2014,505
84.2,"Nopola, Sinikka.",Risto Räppääjä ja komea Kullervo,978-951-31-3311-5,2005,505
84.2 H ,"Perttula, Pirkko-Liisa.",Kummitusperhe Kammoset ja kevättä kylkiluissa,978-951-1-23723-5,2009,504
84.2,"Simukka, Salla.",Punainen kuin veri,978-951-31-7123-0,2013,504
84.2,"Forsyth, Frederick.",Tappolista,978-951-1-27863-4,2014,504
84.2,"Luhtanen, Sari.",Murusia,978-951-31-7132-2,2013,504
84.2,,Risto Räppääjä ja polkupyörävaras,6420291105095,2010,504
84.2 D,"Jokinen, Seppo.",Koskinen ja raadonsyöjä : rikosromaani,951-23-4822-5,2006,504
84.2,"Mustonen, Enni.",Morsiuskesä,978-951-1-23839-3,2009,503
84.2,"Jonasson, Jonas.",Lukutaidoton joka osasi laskea,978-951-0-39516-5,2014,503
85.22,"Kunnas, Mauri.",Hauska eläinkirja,978-951-1-27979-2,2014,502
84.2,"Hjorth, Michael.",Tunturihauta,978-952-279-070-5,2013,502
84.2,"Grebe, Camilla, kirjoittaja.",Pietarin kapellimestari,978-951-20-9466-0,2014,502
84.2,"Nopola, Sinikka.","Heinähattu, Vilttitossu ja ärhäkkä koululainen",978-951-31-7192-6,2013,502
85.22,"Louhi, Kristiina.",Ainon äiti on vihainen,951-30-9416-2,1990,501
84.2,"Rinne, Liisa, kirjoittaja.",Odotus,978-952-300-123-7,2015,501
84.2,"Steel, Danielle.",Päivä kerrallaan,978-951-0-38874-7,2012,501
84.2,"Jalo, Merja.",Jesse pentukoira,978-951-0-35899-3,2010,501
85.22,"Harjanne, Maikki.",Minttu ja paras ystävä,978-951-1-26890-1,2013,501
84.2,"Häkämies, Kari.",Erään yhtiön murha : rikosromaani,978-951-851-585-5,2014,500
85.22 KU,"Bergström, Gunilla.",Mikko Mallikas panee töpinäksi,978-951-31-0894-6,1996,500
84.2,"Adler-Olsen, Jussi.",Vanki,978-951-20-8754-9,2012,500
84.2,"Parvela, Timo.",Ella ja kadonnut karttakeppi,978-951-31-6966-4,2012,499
85.22,"Cousins, Lucy.",Maisa käy kirjastossa,978-951-0-30322-1,2005,499
85.22,"Míler, Zdenk.",Myyrän housut,9789513116972,2001,499
84.2,"Rissanen, Pirjo.",Muistot,978-951-20-8127-1,2010,499
92.87063,,Avojaloin : 20 tositarinaa Karjalan Kannakselta,978-951-20-9898-9,2015,499
85.22,"Louhi, Kristiina.",Aino ja Pakkasen Poika,951-30-9415-4,1990,498
85.22,"Bergström, Gunilla.","Pelkkiä solmuja, Mikko Mallikas",978-951-31-3844-8,2007,497
84.2,"Green, John, kirjoittaja.",Arvoitus nimeltä Margo,978-951-0-41175-9,2015,497
85.32,"Korhonen, Kari, sarjakuvantekijä.",Ankkojen Suomi,978-951-32-3847-6,2014,497
84.2 JÄN,"Sandberg, Timo.",Mustamäki : jännitysromaani,978-951-23-5693-5,2013,497
84.2,"Mustonen, Enni.",Parittomat,978-951-1-23023-6,2008,497
84.2 D,"Galbraith, Robert.",Käen kutsu,978-951-1-28011-8,2013,497
84.2 D,"Clark, Mary Higgins.",Kadonneet vuodet,978-951-31-6801-8,2013,497
85.22,"Wolde, Gunilla.",Sanna lääkärissä,951-30-3926-9,1977,496
84.2,"Lindgren, Astrid.","Ronja, ryövärintytär",951-0-10855-3,1981,495
65.8,"Klang, Joachim.",Rakenna oma kaupunki : suuri Lego-palikkakirja,978-952-220-701-2,2013,495
84.2,"Jalo, Merja.",Jesse vauhtikoira,978-951-0-40104-0,2014,495
84.2 D,"Mankell, Henning.",Savuna ilmaan,978-951-1-23943-7,2010,495
85.22,"Jennings, Sharon.",Franklin haluaa olla iso,978-951-31-5339-7,2011,495
85.22,"Hill, Eric.",Mitä Puppe näkee?,978-951-1-26480-4,2012,494
84.2,"Lehtolainen, Leena.",Viimeinen kesäyö ja muita kertomuksia,951-31-3709-0,2006,494
84.2 - Kauhu,"Stine, R. L.",Nukkeni mun,978-951-0-34437-8,2008,494
84.2,"Nevanlinna, Arne.",Heta : romaani,978-951-0-40174-3,2014,493
84.2,"Lönnroth, Heleena, kirjoittaja.",Uhri : jännitysromaani,978-952-68149-1-9,2014,492
84.2 D,"Bradley, Alan.",Kuolema ei ole lasten leikkiä,978-952-279-170-2,2014,492
84.2,"Isokallio, Kalle.",Samuli Huttusen synnyinlahja,978-951-31-8011-9,2014,492
84.2,"Lönn, Pasi.",Lunastaja,978-951-31-7425-5,2013,492
84.2,"Olsson, Linda.",Kaikki hyvä sinussa,978-951-20-8408-1,2012,492
84.2,"Kallioniemi, Tuula.",Aaveita ja avaruusolentoja,978-951-1-26327-2,2012,491
84.2,THiLO.,Delfiinitarinoita,978-951-883-627-1,2014,491
84.2 JÄN,"Lindell, Unni.",Sokerivalhe,978-951-0-39519-6,2013,491
67.41,"Mäki-Kihniä, Nina.",Tallitytön käsikirja,978-952-220-818-7,2014,491
85.22,"KilBride, Sarah.",Hopea : lumimaan taikaponi,978-951-23-5465-8,2012,490
84.2,"Utrio, Kaari.",Vaitelias perillinen,978-951-31-4800-3,2009,489
85.22 KU,,Prinsessa ja poptähti,978-951-20-9433-2,2014,489
84.2,"Jokinen, Seppo.",Koskinen ja kreikkalainen kolmio,978-951-23-4089-7,2000,489
84.2,"Nopola, Sinikka.","Likka, äite ja rouva Obama : episodiromaani",978-951-0-39927-9,2013,489
85.22 KU,"Harjanne, Maikki.",Minttu saa oman koiran,978-951-1-21800-5,2007,489
84.2,"Gerritsen, Tess, kirjoittaja.",Salametsästäjä,978-951-1-28439-0,2015,489
84.2,The hunger games.,Nälkäpeli [Videotallenne] /,6420291114608,2012,489
84.2,"Holmström, Johanna, kirjoittaja.",Sulje silmäs pienoinen,978-951-1-28502-1,2015,488
84.2,"Parvela, Timo.",Ella ja Pate,951-31-1632-8,1999,488
85.12 H,"Doyle, Malachy.",Kummitusliiga,978-951-883-137-5,2010,488
85.22,,Tuomas ja ystävät : parhaat tarinat. 1 /,978-952-7041-48-2,2014,488
84.2,"Kallioniemi, Tuula.",Kaahailua ja kepposia,978-951-1-26279-4,2011,487
85.32,,Bart Simpson : parhaat 2013,978-952-220-662-6,2013,487
84.2,"Kallioniemi, Tuula.",Pusuja ja pulmia : Reuhurinteen ala-aste,951-1-15381-1,1998,487
85.22,"Harjanne, Maikki.",Mintun lääkärikirja,978-951-1-28276-1,2014,487
14.4,"Aron, Elaine N.",Erityisherkkä ihminen,978-952-240-214-1,2013,487
85.22,Secret of the wings.,Helinä-keiju ja siipien salaisuus,978-951-32-3485-0,2012,487
84.2,"Rooney, Anne.",Ihan likainen!,978-951-883-202-0,2011,487
84.2,"Kaaberbøl, Lene, kirjoittaja.","Hiljainen, huomaamaton murha",978-952-234-220-1,2014,487
85.22,"Koskimies, Pirkko.",Pupu Tupunan leikkimökki,978-951-32-2993-1,2010,486
84.2,"Gutman, Dan.",Riehakasta riimittelyä,978-951-32-3922-0,2014,486
85.22,"Koskimies, Pirkko.",Pupu Tupuna neuvolassa,978-951-32-3478-2,2012,486
85.22,"Snow white's royal wedding, suomi.",Lumikin häät,978-951-32-3893-3,2013,486
84.2,"Webb, Holly.",Misu tahtoo ystävän,978-951-23-5743-7,2014,485
85.22 KU,"Knutsson, Gösta.",Pekka Töpöhäntä Kööpenhaminassa,951-20-3983-4,1992,485
85.22,"Powell-Tuck, Maudie.",Merirosvo ei pelkää pimeää!,978-951-883-600-4,2014,485
84.2,"Lehtolainen, Leena.",Paholaisen pennut,978-951-31-6827-8,2012,484
85.12 H,"Llewellyn, Claire.",Miisun torkut,978-951-883-062-0,2010,484
85.2,"Wolde, Gunilla.",Teemu on pieni,951-30-9068-X,1989,483
84.2,"Redondo, Dolores, kirjoittaja.",Näkymätön vartija,978-951-20-9438-7,2015,483
85.22,,Muumin kuutamoseikkailu,978-951-0-37128-2,2010,483
84.2,"Orkoma, Marja.",Villiruusu 6,978-951-883-217-4,2011,482
85.32,,Bart Simpson : parhaat 2014,978-952-220-847-7,2014,482
84.2,The hobbit: the desolation of Smaug.,Hobitti : Smaugin autioittama maa,6438044379778,2014,481
84.2,"Laurain, Antoine, kirjoittaja.",Punaisen muistikirjan nainen,978-951-0-40876-6,2015,481
84.2,"Hunter, Erin.",Keskiyö,978-951-884-487-0,2012,481
85.22 KU,,Voimistelija,978-951-20-9432-5,2013,480
84.2,"Kaaberbøl, Lene.",Poika matkalaukussa,978-952-234-157-0,2013,480
84.2 D,"Grisham, John, kirjoittaja.",Vuori,978-951-0-41072-1,2015,480
84.2 JÄN,"Tuomola, Johanna.",Murhaaja vierelläsi : jännitysromaani,978-952-202-425-1,2013,479
84.2,"Ohlsson, Kristina.",Varjelijat,978-951-0-39692-6,2013,479
84.2,"Forde, Patricia, kirjoittaja.",Noidat eivät pidä polkupyöristä,978-951-883-689-9,2015,479
84.2,"Nopola, Sinikka.","Heinähattu, Vilttitossu ja kielletty kampela",951-31-3412-1,2005,478
85.12,"Kurenniemi, Marjatta.",Onnelin ja Annelin talo,978-951-0-40444-7,2013,478
84.2 SOTA,"Sirén, Esa, kirjoittaja.",Törni kärkeen,978-951-24-0061-4,2015,477
84.2,"Donner, Jörn.",Poika ja isä : erään rikoksen tarina,978-951-1-28207-5,2014,477
84.2,"Lehtolainen, Leena, kirjoittaja.",Oikeuden jalopeura,978-951-31-6219-1,2011,476
84.2,"Dillon, Lucy, kirjoittaja.",Ikuisen onnen salaisuus,978-951-20-9892-7,2015,476
84.2,"Doughty, Louise, kirjoittaja.",Kielletyn hedelmän kuja,978-952-312-096-9,2015,475
84.2,"Kolu, Siri.",Me Rosvolat,978-951-1-24393-9,2010,475
84.2,"Didierlaurent, Jean-Paul, kirjoittaja.",Lukija aamujunassa,978-951-31-8183-3,2015,474
84.2 D,"Sipilä, Jarkko.",Rahan metsästäjät,978-952-289-046-7,2013,474
84.2,"Rooney, Anne.",Kadonnut sukka,978-951-883-200-6,2011,474
84.2,"Luhtanen, Sari.",Tuulin viemää,978-951-31-6033-3,2011,474
84.2,"Ala-Harja, Riikka, kirjoittaja.",Kevyt liha,978-952-01-1293-6,2015,473
85.22,"Bergström, Gunilla.",Mikko Mallikas ja Mulperi,978-951-31-2747-3,2003,473
85.22,"Mikkelinen, Jerry.",Maltti & Valtti : tehtävä mummolassa,978-951-52-3421-6,2014,473
84.2,"Bradley, Alan.",Piiraan maku makea,978-952-279-051-4,2014,472
85.22,"Scarry, Richard.",Maailman paras Mato Matala!,978-951-31-7729-4,2014,472
85.22,,Tuomas ja ystävät : parhaat tarinat. 2 /,978-952-7041-49-9,2014,472
84.2 H ,"Kallioniemi, Tuula.",Konsta sydämen asialla,978-951-1-24307-6,2010,472
85.22,"Handford, Martin.",Missä Vallu? : Hollywood,978-951-883-540-3,2014,472
84.2,"Shin, Kyung-sook, kirjoittaja.",Pidä huolta äidistä,978-952-264-368-1,2015,472
85.22,"Webb, Holly, kirjoittaja.",Vili eksyksissä,978-951-23-5912-7,2015,471
85.22,"Kirkkopelto, Katri.",Molli,978-952-288-019-2,2013,470
84.2,"Carlsson, Christoffer, kirjoittaja.",Ääret,978-951-0-41217-6,2014,470
84.2,"Raevaara, Tiina, kirjoittaja.",Yö ei saa tulla,978-952-299-063-1,2015,470
85.22,"Kunnas, Mauri.","Riku, Roope ja Ringo lentävät kuuhun",978-951-1-25807-0,2013,470
85.22,"Koskimies, Pirkko.",Pupu Tupuna leikkipuistossa,978-951-32-2681-7,2009,469
85.22 KU,"Bergström, Gunilla.",Mikko Mallikas on oikukas,978-951-31-1010-9,1997,468
84.2,"Nopola, Sinikka.",Heinähattu ja Vilttitossu,951-30-9048-5,1989,468
84.2 D,"Remes, Matti.",Tappaja,978-951-31-7126-1,2013,468
84.2,"Moyes, Jojo.","Ole niin kiltti, älä rakasta häntä",978-951-20-9290-1,2014,468
85.22,"Miler, Zdenk.",Myyrän kellokirja,978-951-31-7821-5,2014,468
84.2,"Vuori, Kristiina.",Siipirikko,978-951-31-7084-4,2013,467
84.2,"Hassinen, Pirjo.",Sauna Paradis,978-951-1-28208-2,2014,467
84.2,"Haapanen, Atso.",Sissipartio Kannaksella,978-951-23-5809-0,2014,467
84.2,"Tuominen, Pirjo.",Alakuloinen romanssi,951-31-3710-4,2006,467
84.2,"Widmark, Martin, kirjoittaja.",Palokunnan arvoitus,978-951-31-8497-1,2015,467
84.2,"Dale, Elizabeth, kirjoittaja.",Peetu sirkuksessa,978-951-883-687-5,2015,467
85.22,"Rentta, Sharon.",Päivä eläinten autokorjaamolla,978-951-883-589-2,2014,466
65.8,Build your own galaxy.,Rakenna oma galaksi : suuri Lego palikkakirja,978-952-220-879-8,2014,466
84.2,,Rikos : 7 rikostarinaa.,978-951-23-5810-6,2014,466
84.2,"Orkoma, Marja.",Unikkopolku 21,978-951-883-080-4,2010,466
84.2,"Andersson, Lena, kirjoittaja.",Vailla henkilökohtaista vastuuta,978-952-234-299-7,2015,465
85.22,"Bergström, Gunilla.","Lennä, sanoi Mikko Mallikas",951-31-1055-9,1997,464
